system,area,coverage
FraudDetect Pro,accuracy_robustness,0.259
FraudDetect Pro,ai_interaction_disclosure,0.085
FraudDetect Pro,data_governance,0.22225
FraudDetect Pro,datasheet,0.015
FraudDetect Pro,documentation,0.27425
FraudDetect Pro,govern,0.0822
FraudDetect Pro,human_oversight,0.247
FraudDetect Pro,manage,0.154
FraudDetect Pro,map,0.10675
FraudDetect Pro,measure,0.1484
FraudDetect Pro,model_card,0.3561666666666667
FraudDetect Pro,post_deployment,0.1685
FraudDetect Pro,record_keeping,0.203
FraudDetect Pro,risk_management,0.19275
FraudDetect Pro,transparency,0.18800000000000003
ResumeRanker AI,accuracy_robustness,0.055333333333333325
ResumeRanker AI,ai_interaction_disclosure,0.018
ResumeRanker AI,data_governance,0.08499999999999999
ResumeRanker AI,datasheet,0.033749999999999995
ResumeRanker AI,documentation,0.1
ResumeRanker AI,govern,0.008199999999999999
ResumeRanker AI,human_oversight,0.0795
ResumeRanker AI,manage,0.0295
ResumeRanker AI,map,0.06875
ResumeRanker AI,measure,0.014599999999999998
ResumeRanker AI,model_card,0.028999999999999998
ResumeRanker AI,post_deployment,0.035
ResumeRanker AI,record_keeping,0.011
ResumeRanker AI,risk_management,0.03425
ResumeRanker AI,transparency,0.05566666666666667
MedAssist Triage,accuracy_robustness,0.17333333333333334
MedAssist Triage,ai_interaction_disclosure,0.005
MedAssist Triage,data_governance,0.16
MedAssist Triage,datasheet,0.034
MedAssist Triage,documentation,0.3145
MedAssist Triage,govern,0.0
MedAssist Triage,human_oversight,0.1785
MedAssist Triage,manage,0.0145
MedAssist Triage,map,0.02275
MedAssist Triage,measure,0.11180000000000001
MedAssist Triage,model_card,0.3173333333333333
MedAssist Triage,post_deployment,0.029
MedAssist Triage,record_keeping,0.162
MedAssist Triage,risk_management,0.036
MedAssist Triage,transparency,0.19799999999999998
ContentMod v5,ai_interaction_disclosure,0.165
ContentMod v5,datasheet,0.289
ContentMod v5,govern,0.03333333333333333
ContentMod v5,manage,0.174
ContentMod v5,map,0.26
ContentMod v5,measure,0.1465
ContentMod v5,model_card,0.3515
ContentMod v5,transparency,0.22
LoanDecision Engine,accuracy_robustness,0.077
LoanDecision Engine,ai_interaction_disclosure,0.087
LoanDecision Engine,data_governance,0.1245
LoanDecision Engine,datasheet,0.01575
LoanDecision Engine,documentation,0.053000000000000005
LoanDecision Engine,govern,0.0
LoanDecision Engine,human_oversight,0.03
LoanDecision Engine,manage,0.01575
LoanDecision Engine,map,0.17325000000000002
LoanDecision Engine,measure,0.0258
LoanDecision Engine,model_card,0.1325
LoanDecision Engine,post_deployment,0.029
LoanDecision Engine,record_keeping,0.0
LoanDecision Engine,risk_management,0.03025
LoanDecision Engine,transparency,0.06433333333333334
ChatHelper Bot,ai_interaction_disclosure,0.08
ChatHelper Bot,datasheet,0.0
ChatHelper Bot,govern,0.0
ChatHelper Bot,manage,0.0
ChatHelper Bot,map,0.0
ChatHelper Bot,measure,0.0
ChatHelper Bot,model_card,0.0018333333333333333
ChatHelper Bot,transparency,0.0
